Team,CarNum,Lap1,Lap2,Lap3,Lap4,Lap5,Lap6,Lap7,Lap8,Lap9,Lap10,Lap11,Lap12,Lap13,Lap14,Lap15,Lap16,Lap17,Lap18,Lap19,Lap20,Lap21,Lap22,Lap23,Lap24,Lap25,Lap26,Lap27,Lap28,Lap29,Lap30,Lap31
UAS Amberg-Weiden,27,62.611,61.000,57.679,60.752,59.293,57.072,59.531,55.950,56.821,60.533,57.571,56.262,56.443,56.865,DC,64.788,60.812,58.679,57.844,58.509,59.086,57.945,72.214,74.848,60.091,62.405,59.131,58.434,60.192,,1683.361
National Univ of Singapore,29,63.998,64.017,63.626,61.946,64.941,65.084,66.506,64.827,66.295,68.117,64.744,124.260,64.387,63.757,64.918,DC,70.600,70.838,68.296,67.232,67.427,65.728,66.916,78.543,68.404,68.258,67.912,72.650,74.154,69.455,2007.836
Univ of Toledo,30,62.542,58.693,57.672,60.400,57.369,57.669,59.916,56.561,57.296,64.906,57.036,58.930,58.092,57.162,DC,61.516,60.951,61.792,59.120,58.623,59.171,58.422,58.257,57.469,60.088,58.510,58.006,64.834,60.462,,1661.465
Oakland University,31,74.844,65.155,61.982,63.051,64.000,65.431,64.683,79.532,60.383,64.485,68.587,68.176,66.581,,,,,,,,,,,,,,,,,,866.890
Universite de Sherbrooke,32,66.345,65.900,67.317,66.582,67.724,66.580,66.224,66.168,64.383,63.718,63.789,131.980,66.906,,,,,,,,,,,,,,,,,,923.616
Saginaw Valley State Univ,34,65.611,63.377,63.386,70.310,66.516,66.501,66.071,65.166,67.604,65.548,65.309,64.192,62.914,65.631,,,,,,,,,,,,,,,,,918.136
Brown Univ,35,80.608,65.450,73.700,64.747,78.920,73.933,67.392,66.701,65.511,62.203,62.513,62.806,63.636,64.449,DC,70.864,67.147,66.621,65.403,65.538,64.935,66.964,63.639,64.520,65.358,63.700,64.247,65.154,64.631,,1871.290
Univ of Kansas - Lawrence,36,60.960,58.845,57.444,54.865,55.854,56.706,59.949,55.622,54.606,56.149,53.527,61.044,54.533,53.727,DC,58.008,65.813,55.452,54.946,62.989,55.760,56.517,56.874,56.078,59.027,58.730,54.357,55.010,64.730,,1608.122
IUPUI,37,74.241,87.235,72.668,70.639,70.260,97.087,68.745,67.531,70.624,77.083,66.761,63.623,70.504,69.321,DC,76.929,78.026,63.851,62.036,63.876,61.229,61.184,58.867,60.062,62.932,59.233,61.969,60.622,60.879,,1918.017
Carnegie Mellon Univ,39,80.113,69.040,73.057,69.498,84.473,72.799,70.327,80.774,93.914,75.229,72.803,72.026,69.036,70.316,DC,82.127,77.269,,,,,,,,,,,,,,1212.801
Cal Poly Pomona,40,73.475,66.785,66.027,68.220,184.684,71.113,74.228,64.124,63.268,64.930,65.948,67.929,,,,,,,,,,,,,,,,,,,930.731
UAS Zwickau,41,63.518,59.148,59.798,57.780,56.932,59.745,56.098,56.618,55.948,56.991,54.866,57.407,59.805,57.547,DC,57.691,56.035,56.910,55.926,56.963,54.943,56.049,54.955,54.782,55.195,54.522,54.939,56.189,55.768,,1593.068
